time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation					
84	84	Gussow appears to pause the tape.					Environment
2853	2853	The tape abruptly stops; it has run out.					Notes
							Transcription
							Technology
