time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation
354	368	A phone rings.
408	430	Prolonged sound of ice moving in a glass—perhaps Walker stirs her tea.
810	812	Prolonged sound of ice moving in a glass—perhaps Walker stirs her tea.
1240	1242	The waiter tries to clear away the food, but is stopped by Gussow and Walker.
